"participant";"overall_hd_cr";"overall_hd_m";"overall_str_cr";"overall_str_m";"overall_tr_cr";"overall_tr_m";"pooled_z_hd_cr";"pooled_z_hd_m";"pooled_z_str_cr";"pooled_z_str_m";"pooled_z_tr_cr";"pooled_z_tr_m";"pooled_X_hd_cr";"pooled_X_hd_m";"pooled_X_str_cr";"pooled_X_str_m";"pooled_X_tr_cr";"pooled_X_tr_m";"pooled_y_hd_cr";"pooled_y_hd_m";"pooled_y_str_cr";"pooled_y_str_m";"pooled_y_tr_cr";"pooled_y_tr_m"
"Co1";45.9886726520807;62.3422886970232;58.2107527348972;60.5428849567781;69.6294918800356;60.6195281709028;49.7405412661095;60.5299967719045;63.5045930748244;60.3430128139098;71.8184884013319;65.3103096200666;41.7783488884823;63.692669022128;63.0189433398988;53.8895836306146;68.9734975927609;56.3360283755836;46.4471278016503;62.8042002970369;48.1087217899684;67.39605842581;68.0964896460141;60.2122465170583
"Co10";41.6320327625831;46.1964094589572;47.1837485455407;58.4352968970075;48.9656970820195;72.667976042368;48.2605750871206;39.65423313222;51.9951116799037;33.4316247120004;46.1193231978707;97.631141520863;41.0021294139281;57.0903497894522;52.7289878737719;96.8965730081457;63.6764429660905;76.7018438311047;35.6333937867007;41.8446454551994;36.8271460829465;44.9776929708764;37.1013250820972;43.6709427751364
"Co2";44.1410217669208;31.3368836944412;39.9796934541857;26.5710428585182;39.8555742347414;28.0583085437069;49.1587125140324;30.9705299741342;55.8364777978146;44.1222288105785;42.9903448533992;33.9802120221725;48.6666394729403;26.2019582895716;43.7605419198176;16.9669842073685;50.5652031266288;28.9465510954744;34.5977133137896;36.8381628196178;20.3420606449248;18.6239155576077;26.0111747241961;21.2481625134739
"Co3";30.1073537668746;40.3953972686424;37.1031123981795;62.7692878884616;39.9511281527404;51.5459288007892;40.554329824364;48.1725780816323;45.0468520852625;107.196263401994;53.0125780172109;85.9274152230615;33.8823026718287;51.4279978672888;51.0890241672471;38.4562856164814;50.5957621178742;38.8258085582275;15.8854288044312;21.5856158570062;15.1734609420289;42.6553146469099;16.2450443231361;29.8845626210786
"Co4";36.2786244327145;42.951024475033;43.9887943361111;39.3722117960739;32.9193169813725;40.6942947759825;35.1952416697442;47.4189930680493;40.4732332346897;43.1408753858147;30.1008015937714;43.4684346292759;46.7352818571257;46.4832425451361;57.3780601098537;42.0257049648959;35.7493437738487;43.0975822823936;26.9053497712737;34.9508378119137;34.1150896637897;32.950055037511;32.9078055764975;35.5168674162782
"Co5";20.0197143708166;30.2227775730083;14.3012171656299;15.9686491838868;14.9226935326722;25.1850673277541;17.1495107568855;36.4193642122259;16.297205127977;21.0624740947919;12.5265766532616;25.2544452206985;19.3506474293812;24.1490438803247;12.6873514761409;13.8118277154021;17.8585475508964;30.800565817894;23.558984926183;30.0999246264744;13.9190948927718;13.0316457414665;14.3829563938587;19.5001909446698
"Co6";56.8243240400494;65.802073803418;78.112654290215;68.601313014791;60.2368446561355;82.1158355024106;47.4163188694276;48.3829656203603;84.3661340016932;55.5497207903091;57.7736545950325;106.012511832761;53.1281952185963;90.4797363407255;74.9237029392738;94.5209470213057;59.4775453847618;68.353814092127;69.9284580321244;58.5435194491681;75.0481259296779;55.7332712327583;63.4593339886121;71.9811805823442
"Co7";54.9923697402297;68.8330133331146;56.6498429642864;70.4917134342556;42.6687684252585;47.2694444639709;80.1988173559558;79.4963766460102;73.3254727644642;96.4457990817309;41.6324983031286;48.884990449416;41.6985688392276;57.9021945653176;48.1613504048769;63.3960196789278;39.7021982154573;50.8784268541397;43.0797230255058;69.1004687880159;48.4627057235179;51.633321542108;46.6716087571896;42.044916088357
"Co8";42.5473715264037;90.40852444266;28.1287733251485;42.616722640644;29.9485850052709;71.671259923438;57.2021176188441;61.2966963790962;58.5640893769117;36.1472865797243;60.9825172540408;101.409918606181;49.1692040510118;143.522530842016;9.0478150743541;47.1909680510389;13.2896308415011;57.3924705604194;21.2707929093552;66.406346106868;16.7744155241798;44.5119132911687;15.5736069202709;56.2113906037138
"Co9";42.4112453870778;114.112913958007;48.6810814211962;60.1973952590685;38.0047060882525;61.8095528983952;48.6056798549368;145.731090549255;51.1092063527527;74.1400717326425;36.7400191261427;92.2640756640607;43.8713519408084;155.761787166593;52.9925890705539;55.7113668988395;37.0857868079172;55.285217504558;34.7567043654882;40.8458641581737;41.9414488402821;50.7407471457234;40.1883123306975;37.8793655265667
