"task";"participant";"fitHead";"fitTrunk";"fitRoom";"ratio"
"crazy";"Co1";240.31;215.47;140.82;NA
"month";"Co1";261.57;238.07;116.45;NA
"crazy";"Co10";230.13;92.64;136.57;NA
"month";"Co10";200.05;74.77;123.95;NA
"crazy";"Co2";84.48;433.28;271.1;NA
"month";"Co2";144.29;477.9;309.57;NA
"crazy";"Co3";132.74;476.99;263.51;NA
"month";"Co3";85.87;462.58;270.81;NA
"crazy";"Co4";118.63;221.49;121.04;NA
"month";"Co4";158;183.29;53.5;NA
"crazy";"Co5";274.75;292.62;79.89;NA
"month";"Co5";237.42;258.71;87.19;NA
"crazy";"Co6";237.77;205.36;115.14;NA
"month";"Co6";309.81;135.68;194.94;NA
"crazy";"Co7";163.38;212.57;121.42;NA
"month";"Co7";144.17;365.61;225.08;NA
"crazy";"Co8";245.49;383.78;253.54;NA
"month";"Co8";150.22;445.94;239.2;NA
"crazy";"Co9";245.23;232.43;105.13;NA
"month";"Co9";162.63;348.08;204.95;NA
"crazy";"Sa1";239.34;186.83;89.63;NA
"crazy";"Sa11";174.65;156.22;67.03;NA
"month";"Sa11";184.28;65.5;116.91;NA
"crazy";"Sa13";110.1;463.2;293.57;NA
"month";"Sa14";246.5;100.75;218.88;NA
"crazy";"Sa20";238.71;108.6;141.76;NA
"month";"Sa20";285.98;96.39;165.68;NA
"crazy";"Sa21";99.86;197.6;104.36;NA
"month";"Sa21";121.12;227.2;125.08;NA
"crazy";"Sa22";161.85;309.81;162.33;NA
"month";"Sa22";125.25;284.87;180.45;NA
"crazy";"Sa23";161.74;187.52;42.79;NA
"month";"Sa23";69.23;274.43;204.07;NA
"crazy";"Sa24";215.23;92.14;112.82;NA
"month";"Sa24";193.52;125.16;180.8;NA
"crazy";"Sa25";387.64;150.88;288.65;NA
"month";"Sa25";350.61;177.78;289.29;NA
"month";"Sa26";194.24;65.28;124.83;NA
"month";"Sa4";73.27;425.65;243.56;NA
"month";"Sa5";144.13;149.82;107.86;NA
"crazy";"Sa6";70.9;273.59;171.68;NA
"month";"Sa6";348.76;78.47;195.65;NA
"crazy";"Sa7";76.41;490.6;304.39;NA
"month";"Sa7";93.15;459.43;278;NA
"crazy";"Sa8";195.13;196.72;55.94;NA
"crazy";"Sa9";107.49;181.84;151.93;NA
"month";"Sa9";171.89;163.96;46.49;NA
